Referencia Catastral,Tipo de vía,Nombre de vía,Numero,Bloque,Escalera,Planta,Puerta,Tipo reforma,Antiguedad,Calidad,Superficie construida,Tipo
3050901YJ2635S0001,AV,REI JAUME I,2,    ,1 ,01 ,01 , ,2003,4,114,Colectiva
3050901YJ2635S0002,AV,REI JAUME I,2,    ,1 ,01 ,02 , ,2003,4,96,Colectiva
3050901YJ2635S0003,AV,REI JAUME I,2,    ,1 ,01 ,03 , ,2003,4,95,Colectiva
3050901YJ2635S0004,AV,REI JAUME I,2,    ,1 ,01 ,04 , ,2003,4,111,Colectiva
3050901YJ2635S0005,AV,REI JAUME I,2,    ,1 ,02 ,05 , ,2003,4,114,Colectiva
3050901YJ2635S0006,AV,REI JAUME I,2,    ,1 ,02 ,06 , ,2003,4,96,Colectiva
3050901YJ2635S0007,AV,REI JAUME I,2,    ,1 ,02 ,07 , ,2003,4,95,Colectiva
3050901YJ2635S0008,AV,REI JAUME I,2,    ,1 ,02 ,08 , ,2003,4,111,Colectiva
3050901YJ2635S0009,AV,REI JAUME I,2,    ,1 ,03 ,09 , ,2003,4,114,Colectiva
3050901YJ2635S0010,AV,REI JAUME I,2,    ,1 ,03 ,10 , ,2003,4,96,Colectiva
3050901YJ2635S0011,AV,REI JAUME I,2,    ,1 ,03 ,11 , ,2003,4,95,Colectiva
3050901YJ2635S0012,AV,REI JAUME I,2,    ,1 ,03 ,12 , ,2003,4,111,Colectiva
3050901YJ2635S0013,AV,REI JAUME I,2,    ,1 ,04 ,13 , ,2003,4,116,Colectiva
3050901YJ2635S0014,AV,REI JAUME I,2,    ,1 ,04 ,14 , ,2003,4,95,Colectiva
3050901YJ2635S0015,AV,REI JAUME I,2,    ,1 ,04 ,15 , ,2003,4,95,Colectiva
3050901YJ2635S0016,AV,REI JAUME I,2,    ,1 ,04 ,16 , ,2003,4,116,Colectiva
3050901YJ2635S0017,AV,REI JAUME I,2,    ,1 ,05 ,17 , ,2003,4,120,Colectiva
3050901YJ2635S0018,AV,REI JAUME I,2,    ,1 ,06 ,18 , ,2003,4,99,Colectiva
3050901YJ2635S0019,AV,REI JAUME I,2,    ,1 ,06 ,19 , ,2003,4,99,Colectiva
3050901YJ2635S0020,AV,REI JAUME I,2,    ,1 ,05 ,20 , ,2003,4,120,Colectiva
3050902YJ2635S0001,AV,REI JAUME I,4,    ,1 ,01 ,01 , ,2005,4,107,Colectiva
3050902YJ2635S0002,AV,REI JAUME I,4,    ,1 ,01 ,02 , ,2005,4,61,Colectiva
3050902YJ2635S0003,AV,REI JAUME I,4,    ,1 ,01 ,03 , ,2005,4,99,Colectiva
3050902YJ2635S0004,AV,REI JAUME I,4,    ,1 ,02 ,04 , ,2005,4,107,Colectiva
3050902YJ2635S0005,AV,REI JAUME I,4,    ,1 ,02 ,05 , ,2005,4,61,Colectiva
3050902YJ2635S0006,AV,REI JAUME I,4,    ,1 ,02 ,06 , ,2005,4,99,Colectiva
3050902YJ2635S0007,AV,REI JAUME I,4,    ,1 ,03 ,07 , ,2005,4,110,Colectiva
3050902YJ2635S0008,AV,REI JAUME I,4,    ,1 ,03 ,08 , ,2005,4,120,Colectiva
3050902YJ2635S0009,AV,REI JAUME I,4,    ,1 ,03 ,09 , ,2005,4,99,Colectiva
3050902YJ2635S0010,AV,REI JAUME I,4,    ,1 ,04 ,10 , ,2005,4,110,Colectiva
3050902YJ2635S0011,AV,REI JAUME I,4,    ,1 ,04 ,11 , ,2005,4,100,Colectiva
3050902YJ2635S0012,AV,REI JAUME I,4,    ,1 ,05 ,12 , ,2005,4,128,Colectiva
3050902YJ2635S0013,AV,REI JAUME I,4,    ,1 ,05 ,13 , ,2005,4,98,Colectiva
3050902YJ2635S0014,AV,REI JAUME I,4,    ,1 ,06 ,14 , ,2005,4,118,Colectiva
3050903YJ2635S0001,AV,REI JAUME I,6,    ,1 ,01 ,01 , ,2006,4,106,Colectiva
